Country,Ease,Cost,Access,Category,totalareakm2,csptwh,pvtwh,wind20twh,totaltwh,twhperkm2,population2017,twhperperson
New Zealand,1,76,100,top,nodata,nodata,nodata,nodata,nodata,nodata,4793900,nodata
Singapore,2,26,100,top,nodata,nodata,nodata,nodata,nodata,nodata,5612253,nodata
Denmark,3,109,100,top,nodata,nodata,nodata,nodata,nodata,nodata,5769603,nodata
"Hong Kong, China",4,1,100,top,nodata,nodata,nodata,nodata,nodata,nodata,7391700,nodata
"Korea, Rep.",5,38,100,top,nodata,nodata,nodata,nodata,nodata,nodata,51466201,nodata
Norway,6,11,100,top,nodata,nodata,nodata,nodata,nodata,nodata,5282223,nodata
United Kingdom,7,26,100,top,nodata,nodata,nodata,nodata,nodata,nodata,66022273,nodata
United States,8,24,100,top,9834000,116100,283710,49760,449570,0.045715884,325719178,0.001380238
Sweden,9,32,100,top,nodata,nodata,nodata,nodata,nodata,nodata,10067744,nodata
"Macedonia, FYR",10,212,100,top,nodata,nodata,nodata,nodata,nodata,nodata,2083160,nodata
Estonia,12,173,100,non,nodata,nodata,nodata,nodata,nodata,nodata,1315480,nodata
Finland,13,28,100,non,nodata,nodata,nodata,nodata,nodata,nodata,5511303,nodata
Latvia,14,290,100,non,nodata,nodata,nodata,nodata,nodata,nodata,1940740,nodata
Australia,15,13,100,non,nodata,nodata,nodata,nodata,nodata,nodata,24598933,nodata
Georgia,16,354,100,non,nodata,nodata,nodata,nodata,nodata,nodata,3717100,nodata
Germany,17,41,100,non,nodata,nodata,nodata,nodata,nodata,nodata,82695000,nodata
Ireland,18,62,100,non,nodata,nodata,nodata,nodata,nodata,nodata,4813608,nodata
Austria,19,96,100,non,nodata,nodata,nodata,nodata,nodata,nodata,8809212,nodata
Iceland,20,11,100,non,nodata,nodata,nodata,nodata,nodata,nodata,341284,nodata
Lithuania,21,44,100,non,nodata,nodata,nodata,nodata,nodata,nodata,2827721,nodata
Canada,22,126,100,non,nodata,nodata,nodata,nodata,nodata,nodata,36708083,nodata
Malaysia,23,27,100,non,nodata,nodata,nodata,nodata,nodata,nodata,31624264,nodata
Poland,24,19,100,non,nodata,nodata,nodata,nodata,nodata,nodata,37975841,nodata
Portugal,25,37,100,non,nodata,nodata,nodata,nodata,nodata,nodata,10293718,nodata
United Arab Emirates,26,25,100,non,nodata,nodata,nodata,nodata,nodata,nodata,9400145,nodata
Czech Republic,27,25,100,non,nodata,nodata,nodata,nodata,nodata,nodata,10591323,nodata
Netherlands,28,30,100,non,nodata,nodata,nodata,nodata,nodata,nodata,17132854,nodata
France,29,6,100,non,nodata,nodata,nodata,nodata,nodata,nodata,67118648,nodata
Slovenia,30,110,100,non,nodata,nodata,nodata,nodata,nodata,nodata,2066748,nodata
Switzerland,31,59,100,non,nodata,nodata,nodata,nodata,nodata,nodata,8466017,nodata
Spain,32,103,100,non,nodata,nodata,nodata,nodata,nodata,nodata,46572028,nodata
Slovak Republic,33,53,100,non,nodata,nodata,nodata,nodata,nodata,nodata,5439892,nodata
Japan,34,0,100,non,nodata,nodata,nodata,nodata,nodata,nodata,126785797,nodata
Kazakhstan,35,51,100,non,nodata,nodata,nodata,nodata,nodata,nodata,18037646,nodata
Romania,36,547,100,non,nodata,nodata,nodata,nodata,nodata,nodata,19586539,nodata
Belarus,37,119,100,non,nodata,nodata,nodata,nodata,nodata,nodata,9507875,nodata
Armenia,38,80,100,non,nodata,nodata,nodata,nodata,nodata,nodata,2930450,nodata
Bulgaria,39,374,100,non,nodata,nodata,nodata,nodata,nodata,nodata,7075991,nodata
Russian Federation,40,44,100,non,nodata,nodata,nodata,nodata,nodata,nodata,144495044,nodata
Hungary,41,94,100,non,nodata,nodata,nodata,nodata,nodata,nodata,9781127,nodata
Belgium,42,102,100,non,nodata,nodata,nodata,nodata,nodata,nodata,11372068,nodata
Croatia,43,303,100,non,nodata,nodata,nodata,nodata,nodata,nodata,4125700,nodata
Moldova,44,738,100,non,nodata,nodata,nodata,nodata,nodata,nodata,3549750,nodata
Cyprus,45,130,100,non,nodata,nodata,nodata,nodata,nodata,nodata,1179551,nodata
Thailand,46,43,100,non,nodata,nodata,nodata,nodata,nodata,nodata,69037513,nodata
Mexico,47,337,100,non,nodata,nodata,nodata,nodata,nodata,nodata,129163276,nodata
Serbia,47,236,100,non,nodata,nodata,nodata,nodata,nodata,nodata,7022268,nodata
Mauritius,49,248,99,sub,nodata,nodata,nodata,nodata,nodata,nodata,1264613,nodata
Italy,50,158,100,non,nodata,nodata,nodata,nodata,nodata,nodata,60551416,nodata
Montenegro,51,441,100,non,nodata,nodata,nodata,nodata,nodata,nodata,622471,nodata
Israel,52,15,100,non,nodata,nodata,nodata,nodata,nodata,nodata,8712400,nodata
Colombia,53,581,99,non,nodata,nodata,nodata,nodata,nodata,nodata,49065615,nodata
Peru,54,336,95,non,nodata,nodata,nodata,nodata,nodata,nodata,32165485,nodata
Puerto Rico,55,354,100,non,nodata,nodata,nodata,nodata,nodata,nodata,3337177,nodata
Rwanda,56,2723,29,sub,25206,789,892,0,1681,0.066690471,12208407,0.000137692
Chile,57,71,100,non,nodata,nodata,nodata,nodata,nodata,nodata,18054726,nodata
Albania,58,516,100,non,nodata,nodata,nodata,nodata,nodata,nodata,2873457,nodata
Luxembourg,59,36,100,non,nodata,nodata,nodata,nodata,nodata,nodata,599449,nodata
Kosovo,60,225,100,non,nodata,nodata,nodata,nodata,nodata,nodata,1830700,nodata
Greece,61,70,100,non,nodata,nodata,nodata,nodata,nodata,nodata,10760421,nodata
Costa Rica,62,182,100,non,nodata,nodata,nodata,nodata,nodata,nodata,4905769,nodata
Bahrain,63,67,100,non,nodata,nodata,nodata,nodata,nodata,nodata,1492584,nodata
Mongolia,64,579,82,non,nodata,nodata,nodata,nodata,nodata,nodata,3075647,nodata
Azerbaijan,65,150,100,non,nodata,nodata,nodata,nodata,nodata,nodata,9862429,nodata
Oman,66,81,100,non,nodata,nodata,nodata,nodata,nodata,nodata,4636262,nodata
Jamaica,67,232,98,non,nodata,nodata,nodata,nodata,nodata,nodata,2890299,nodata
Morocco,68,1770,100,non,406318,15127,15155,11297,41579,0.102331179,35739580,0.001163388
Turkey,69,600,100,non,nodata,nodata,nodata,nodata,nodata,nodata,80745020,nodata
Panama,70,9,93,non,nodata,nodata,nodata,nodata,nodata,nodata,4098587,nodata
Botswana,71,324,61,sub,578084,13070,13764,9793,36627,0.063359304,2291661,0.01598273
Brunei Darussalam,72,54,100,non,nodata,nodata,nodata,nodata,nodata,nodata,428697,nodata
Bhutan,73,525,100,non,nodata,nodata,nodata,nodata,nodata,nodata,807610,nodata
South Africa,74,156,84,sub,1220394,43275,42243,41195,126713,0.103829583,56717156,0.002234121
Kyrgyz Republic,75,858,100,non,nodata,nodata,nodata,nodata,nodata,nodata,6201500,nodata
Malta,76,268,100,non,nodata,nodata,nodata,nodata,nodata,nodata,465292,nodata
Tunisia,77,697,100,non,155176,2045,4645,6842,13532,0.087204207,11532127,0.001173418
China,78,390,100,non,nodata,nodata,nodata,nodata,nodata,nodata,1386395000,nodata
San Marino,79,59,100,non,nodata,nodata,nodata,nodata,nodata,nodata,33400,nodata
Ukraine,80,638,100,non,nodata,nodata,nodata,nodata,nodata,nodata,44831159,nodata
Bosnia and Herzegovina,81,400,100,non,nodata,nodata,nodata,nodata,nodata,nodata,3507017,nodata
Vietnam,82,1261,100,non,nodata,nodata,nodata,nodata,nodata,nodata,95540800,nodata
Qatar,83,11,100,non,nodata,nodata,nodata,nodata,nodata,nodata,2639211,nodata
Vanuatu,83,1091,58,non,nodata,nodata,nodata,nodata,nodata,nodata,276244,nodata
Tonga,85,86,97,non,nodata,nodata,nodata,nodata,nodata,nodata,108020,nodata
St. Lucia,86,193,98,non,nodata,nodata,nodata,nodata,nodata,nodata,178844,nodata
Uzbekistan,87,1233,100,non,nodata,nodata,nodata,nodata,nodata,nodata,32387200,nodata
Guatemala,88,478,92,non,nodata,nodata,nodata,nodata,nodata,nodata,16913503,nodata
Samoa,89,642,100,non,nodata,nodata,nodata,nodata,nodata,nodata,196440,nodata
Uruguay,90,13,100,non,nodata,nodata,nodata,nodata,nodata,nodata,3456750,nodata
Indonesia,91,357,98,non,nodata,nodata,nodata,nodata,nodata,nodata,263991379,nodata
Kenya,92,642,56,sub,582253,15399,23046,22476,60921,0.104629774,49699862,0.001225778
