Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/18/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Switzerland,CHE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,16104.76723,14799.72233,14889.76094,14762.72391,14198.50527,14210.33943,20006.85556,24601.5094,26451.45697,24863.18169,31039.54597,30926.86652,31653.64996,30841.16579,33736.23207,39974.43114,38566.96641,34286.39717,35411.83445,34727.70702,32689.68954,32046.60083,33646.8322,40810.59414,45285.44225,47966.28164,49969.16846,50933.33761,52736.55803,56190.25973,63545.1998,71216.58907,68151.60803,69239.99927,68975.18929,66815.6885,63378,,31
Norway,NOR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2758.592286,3144.586233,3707.634184,4797.862075,5679.491093,6820.485186,7305.917065,8257.96534,9027.909399,10033.8492,12061.38408,12035.88647,11923.3652,11429.87584,11465.0391,12198.6731,14909.71597,17574.41474,18598.32153,18023.34231,20749.63494,21556.04835,23211.06192,21121.95044,22420.33543,26945.37767,28340.46576,28437.34108,28046.04511,28477.79178,28103.82045,29663.14932,33324.60178,39165.16571,44685.99313,51829.17342,56853.32786,65916.97303,73170.39891,62001.06432,69002.03034,77456.7155,78356.04735,80793.16361,77700.83122,61142.76098,57983,,6
Luxembourg,LUX,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2530.22741,2572.214274,3323.681405,4411.574095,5588.745906,5777.589883,6737.47342,7682.958076,9607.065849,11108.27932,12325.90783,10802.00229,11027.20083,11131.85913,10739.10373,11149.76995,15881.65564,19796.91085,21913.43881,22933.29296,29305.6884,31712.4961,34636.01786,34575.42854,36403.20293,43763.28164,43159.67979,39827.30581,39020.57846,41365.37166,37601.76258,37669.95457,39162.4753,46709.71447,61392.51955,65974.62948,64084.56194,81386.92269,82019.94553,56664.43621,62531.4022,65004.25798,59247.02784,62611.33184,63447.36888,55156.67774,56303,,59
Iceland,ISL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32357.58163,32539.74944,39394.47313,43434.44821,42822.46834,52293,,20
United States,USA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,4578.801286,4873.514472,5322.293302,5890.483129,6138.898247,6558.640362,7237.454421,7979.285991,8927.108099,9552.850435,10147.99267,11453.66992,12028.8793,12793.09163,14294.66208,15187.25151,15898.14222,16806.84945,18217.24009,19192.86972,19955.26851,20337.70612,21267.15524,21972.11536,23190.32375,24199.11635,25419.3384,26913.26911,28390.02186,29696.38279,31293.57794,31985.35024,32641.73118,33776.97464,35648.64293,37662.14612,39871.38238,40558.37031,40330.50224,39351.60859,40991.68426,42610.37052,44592.96929,45465.09253,47297.05524,48967.22169,49574,,8
North America,NAC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,4468.539165,4770.11069,5221.737005,5787.957554,6086.026421,6505.620069,7221.912336,7895.239881,8765.336431,9365.011352,9975.121674,11258.42628,11795.02741,12562.44755,13953.28217,14780.63995,15467.08644,16431.96358,17910.25195,18920.77604,19647.33321,20034.37343,20786.07312,21368.21228,22454.85695,23427.05755,24559.89597,25967.83493,27233.55063,28509.30941,30090.59201,30676.28868,31330.68641,32698.13548,34678.68869,36836.58997,39178.65345,40133.43741,40055.81838,38709.18765,40746.89672,42593.45025,44411.80571,45197.27499,46680.79561,47594.25238,48039,,#N/A
Denmark,DNK,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2968.744058,3282.451545,3979.584888,5338.995611,5798.286491,6873.230812,7624.929888,8521.724631,10344.11612,11901.08818,11734.32904,9993.249604,9714.82967,9778.08307,9516.86169,10078.12164,14318.44635,17750.91703,18536.26488,17803.24037,21754.467,21740.01551,23957.52631,22393.97355,24525.62199,29081.194,29287.39804,26861.03919,27454.28035,27488.72411,24760.58202,24904.36659,26870.48433,32800.68937,38159.93202,40185.3825,43160.01577,47972.02519,52254.46688,47601.99159,48078.04986,51336.79878,48758.08713,51911.26527,53696.20432,45583.10194,45728,,3
Sweden,SWE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,4162.080806,4508.948693,5296.018536,6413.089011,7050.752104,8849.672332,9468.420673,9859.7181,10825.33828,12757.05296,14680.54437,13275.41919,11593.51031,10583.81896,11050.46345,11509.60183,15273.81898,18595.29126,20852.60405,21696.91845,25680.5218,26550.49627,26897.45247,19714.567,21627.71814,25361.81244,27553.11531,25253.92123,25557.05433,25927.68002,24768.02446,22665.63801,24847.52321,31821.26497,36153.54603,36958.34958,40332.58575,46731.03925,48692.5428,39251.61599,44690.36544,50872.32304,48760.07851,51432.94886,50489.34809,43232.80839,44238,,9
Singapore,SGP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,995.9776924,1166.984729,1517.499878,2066.700032,2260.020293,2432.799268,2473.97367,2790.550424,3405.00572,4050.804281,4539.433692,4933.928882,5523.93008,6171.373877,5970.513226,5662.790977,6102.169596,7414.526641,8787.770567,10075.10005,12256.89668,13824.68228,15337.03084,18734.8445,21982.04262,22856.60519,23637.73986,19011.34159,18782.92761,20317.99714,18034.15325,17942.36094,18957.85725,21349.33877,23502.52862,27676.87019,32800.27165,32217.08504,31020.41865,40103.5679,44848.87833,45248.22611,46665.96087,47071.16157,43618.1112,43519,,2
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2704.288367,2855.858477,3279.759697,3983.550127,5371.585912,5835.355614,6238.569613,6372.454619,6769.147673,7450.57847,8258.102597,9780.531073,10331.47053,9428.533227,10116.85494,9163.128103,9096.686628,9292.55097,11497.83899,14205.07498,14189.396,14677.23613,14505.16418,13988.9959,14446.74279,16123.75952,17415.24611,18699.15821,17037.83015,16389.7988,17075.28178,15460.89236,15978.51909,18733.2653,24188.98334,26373.8515,27718.12127,30947.38261,37468.94844,33066.27603,39898.81568,47596.45431,52383.77787,52646.40155,47779.62345,44026.95589,38859,,15
