STATE,STATEFIPS,COUNTY,COUNTYFIPS,ID,adjust,GEO,YEAR,TP-TotPop,freshPer,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
AL,1,Autauga County,1,01001,0500000US01001,0500000US01001,2015,55.347,1.0192061,--,--,48.998,3.64,0,3.64,0,0,0,3.64,0,3.64,6.349,0.38,0,0.38,60,2.71,55,3.09,1.83,0,1.83,32.97,0,32.97,34.8,0,34.8,3.36,0.16,3.52,--,3.52,2.26,0,0,2.26,3.36,0,3.36,--,3.36,2.16,0,0,2.16,0,0.16,0.16,--,0.16,0.1,0,0,0.1,0.08,0.11,0.19,0,0,0,0,0,0,0,0,0,1.4,0,1.4,0.62,0,0.62,2.02,0,2.02,0,0,0,11.86,0,11.86,11.86,0,11.86,--,--,9.66,0,9.66,15711.64,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,11.86,0,11.86,11.86,0,11.86,--,--,9.66,0,9.66,15711.64,10.69,0,10.69,45.72,0,45.72,56.41,0,56.41,13.18,0,13.18
AL,1,Baldwin County,3,01003,0500000US01003,0500000US01003,2015,203.709,0.415789189,--,--,174.907,23.67,0,23.67,0,0,0,23.67,0,23.67,28.802,2.14,0,2.14,74,12.78,73,14.92,0,0,0,0,0,0,0,0,0,47.17,11.11,58.28,--,58.28,20.66,0,0,20.66,47.17,6.78,53.95,--,53.95,18.52,0,0,18.52,0,4.33,4.33,--,4.33,2.14,0,0,2.14,0.13,0.16,0.29,0.05,0,0.05,0.05,0,0.05,0.1,0,0.1,0.22,0,0.22,0,0,0,0.22,0,0.22,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,73.38,0,73.38,11.32,0,11.32,84.7,0,84.7,58.28,0,58.28
AL,1,Barbour County,5,01005,0500000US01005,0500000US01005,2015,26.489,0.340518706,--,--,24.587,3.23,0,3.23,0,0,0,3.23,0,3.23,1.902,0.12,0,0.12,63,1.42,58,1.54,1.5,0,1.5,0,0,0,1.5,0,1.5,0.57,2.39,2.96,--,2.96,4.53,0,0,4.53,0.57,1.92,2.49,--,2.49,4.23,0,0,4.23,0,0.47,0.47,--,0.47,0.3,0,0,0.3,0.16,0.25,0.41,0.18,0,0.18,0.18,0,0.18,0.36,0,0.36,0.3,0,0.3,0.14,0,0.14,0.44,0,0.44,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,6.06,0,6.06,2.96,0,2.96,9.02,0,9.02,2.96,0,2.96
AL,1,Bibb County,7,01007,0500000US01007,0500000US01007,2015,22.583,0.259930036,--,--,20.947,5.18,0,5.18,0,0,0,5.18,0,5.18,1.636,0.16,0,0.16,98,1.81,86,1.97,0,0,0,0,0,0,0,0,0,0.03,0.16,0.19,--,0.19,0.16,0,0,0.16,0.03,0,0.03,--,0.03,0.06,0,0,0.06,0,0.16,0.16,--,0.16,0.1,0,0,0.1,0.03,0.04,0.07,0,0,0,0,0,0,0,0,0,0.27,0,0.27,0,0,0,0.27,0,0.27,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,5.67,0,5.67,0.2,0,0.2,5.87,0,5.87,0.19,0,0.19
AL,1,Blount County,9,01009,0500000US01009,0500000US01009,2015,57.673,1.041561909,--,--,44.815,2.78,0,2.78,54.08,0,54.08,56.86,0,56.86,12.858,0.86,0,0.86,67,2.79,62,3.65,0,0,0,0,0,0,0,0,0,0.2,0.88,1.08,--,1.08,0.94,0,0,0.94,0.2,0.15,0.35,--,0.35,0.53,0,0,0.53,0,0.73,0.73,--,0.73,0.41,0,0,0.41,0.43,0.47,0.9,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,4.64,0,4.64,55.43,0,55.43,60.07,0,60.07,1.08,0,1.08
AL,1,Bullock County,11,01011,0500000US01011,0500000US01011,2015,10.696,0.410433807,--,--,9.958,2.11,0,2.11,0,0,0,2.11,0,2.11,0.738,0.07,0,0.07,95,0.89,89,0.96,0,0,0,0,0,0,0,0,0,0.92,1.08,2,--,2,1.67,0,0,1.67,0.92,0.92,1.84,--,1.84,1.61,0,0,1.61,0,0.16,0.16,--,0.16,0.06,0,0,0.06,0.06,0.1,0.16,0,0,0,0.05,0,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,3.16,0,3.16,1.23,0,1.23,4.39,0,4.39,2,0,2
AL,1,Butler County,13,01013,0500000US01013,0500000US01013,2015,20.154,0.201448844,--,--,16.806,2.28,0,2.28,0,0,0,2.28,0,2.28,3.348,0.27,0,0.27,81,1.35,80,1.62,0.2,0,0.2,0,0,0,0.2,0,0.2,0.01,0.98,0.99,--,0.99,0.3,0,0,0.3,0.01,0,0.01,--,0.01,0.02,0,0,0.02,0,0.98,0.98,--,0.98,0.28,0,0,0.28,0.13,0.19,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,2.89,0,2.89,1.17,0,1.17,4.06,0,4.06,0.99,0,0.99
AL,1,Calhoun County,15,01015,0500000US01015,0500000US01015,2015,115.62,0.265265525,--,--,109.438,22.47,0,22.47,2.78,0,2.78,25.25,0,25.25,6.182,0.44,0,0.44,71,7.52,69,7.96,1.15,0,1.15,0,0,0,1.15,0,1.15,0,3.15,3.15,--,3.15,1.92,0,0,1.92,0,1.39,1.39,--,1.39,1.14,0,0,1.14,0,1.76,1.76,--,1.76,0.78,0,0,0.78,0.15,0.21,0.36,0.12,0,0.12,0.12,0,0.12,0.24,0,0.24,0.06,0,0.06,0.02,0,0.02,0.08,0,0.08,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,24.39,0,24.39,6.28,0,6.28,30.67,0,30.67,3.15,0,3.15
AL,1,Chambers County,17,01017,0500000US01017,0500000US01017,2015,34.123,0.150338481,--,--,25.783,0,0,0,4.2,0,4.2,4.2,0,4.2,8.34,0.48,0,0.48,58,1.74,67,2.22,0,0,0,0,0,0,0,0,0,0.07,0.16,0.23,--,0.23,0.18,0,0,0.18,0.07,0,0.07,--,0.07,0.12,0,0,0.12,0,0.16,0.16,--,0.16,0.06,0,0,0.06,0.09,0.13,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0.64,0,0.64,4.49,0,4.49,5.13,0,5.13,0.23,0,0.23
AL,1,Cherokee County,19,01019,0500000US01019,0500000US01019,2015,25.859,0.286940717,--,--,17.746,2.43,0,2.43,0.77,0,0.77,3.2,0,3.2,8.113,0.49,0,0.49,60,1.08,61,1.57,0,0,0,0,0,0,0,0,0,0,2.82,2.82,--,2.82,1.87,0,0,1.87,0,2.66,2.66,--,2.66,1.77,0,0,1.77,0,0.16,0.16,--,0.16,0.1,0,0,0.1,0.16,0.24,0.4,0.51,0,0.51,0,0,0,0.51,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,3.59,0,3.59,3.83,0,3.83,7.42,0,7.42,2.82,0,2.82
