years,set,pop,surface,ground,overlap,surfaceAdj,groundAdj,totIntWater,depend,totWater,rwpc,spc,gpc,dpc,Total in Bgal/d,Public and Domestic,Irrigation,Thremoelectric,Industrial,Other
1987,1,245,2662,1383,1227,1855,963,2818,251,3069,12505,7560,3922,1023,,,,,,
1992,1,258,2662,1383,1227,1855,963,2818,251,3069,11900,7194,3732,973,,,,,,
1997,1,273,2662,1383,1227,1855,963,2818,251,3069,11247,6800,3528,920,,,,,,
2002,1,288,2662,1383,1227,1855,963,2818,251,3069,10639,6432,3337,870,,,,,,
2007,1,302,2662,1383,1227,1855,963,2818,251,3069,10174,6151,3191,832,,,,,,
2012,1,315,2662,1383,1227,1855,963,2818,251,3069,9749,5894,3058,797,,,,,,
2014,1,322,2662,1383,1227,1855,963,2818,251,3069,9538,5766,2992,780,,,,,,
1950,2,,,,,,,,,,,,,,183.60,8.77,48.47,21.79,20.15,0.82
1955,2,,,,,,,,,,,,,,241.60,7.91,45.53,29.80,16.14,0.62
1960,2,,,,,,,,,,,,,,272.60,8.44,40.35,36.68,13.94,0.59
1965,2,,,,,,,,,,,,,,324.00,8.12,37.04,40.12,14.20,0.52
1970,2,,,,,,,,,,,,,,378.50,7.82,34.35,44.91,12.42,0.50
1975,2,,,,,,,,,,,,,,418.90,7.59,33.42,47.74,10.74,0.51
1980,2,,,,,,,,,,,,,,443.60,8.21,33.81,47.34,10.14,0.50
1985,2,,,,,,,,,,,,,,396.86,10.06,34.02,47.12,8.24,0.56
1990,2,,,,,,,,,,,,,,404.30,10.41,33.14,47.98,7.91,0.56
1995,2,,,,,,,,,,,,,,397.22,10.97,32.73,47.83,7.89,0.58
2000,2,,,,,,,,,,,,,,412.67,11.36,33.68,47.25,7.13,0.58
2005,2,,,,,,,,,,,,,,409.04,11.77,31.05,49.14,7.52,0.52
2010,2,,,,,,,,,,,,,,354.66,12.84,32.71,45.68,8.21,0.56
2015,2,,,,,,,,,,,,,,321.61,13.14,36.69,41.35,8.19,0.63
